mountain_name,district,신고년월일,신고년,신고월,신고일,신고요일,신고시각,신고시,신고분,발생장소_시,발생장소_구,발생장소_동,발생장소_리,현장과의거리,관할구분코드명,사고원인코드명_사고종별,x_4326,y_4326,elevation,slope,STN,WD,WS,GST,GST.1,GST.2,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN.1,RN.2,RN.3,SD,SD.1,SD.2,WC,WP,WW,CA,CA.1,CH,CT,CT.1,CT.2,CT.3,VS,SS,SI,ST,TS,TE,TE.1,TE.2,TE.3,ST.1,WH,BF,IR,IX
가야산,경남,9/2/2018,2018,9,2,일,오후 2:14:00,14,14,경상남도,합천군,가야면,구원리,0,타관할,기타산악,128.1005479,35.77358294,884.4230769,225,284,7,0.7,-9,-9,-9,983,1008.7,-9,-9,21.7,17.6,78,20.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,10,10,6,-,-9,-9,-9,2000,0,-9,-9,25,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,9/9/2015,2015,9,9,수,오후 12:30:00,12,30,경상남도,거창군,가조면,수월리,18,관할,산악기타,128.048294,35.746518,850.4166667,220,284,34,3.6,-9,-9,-9,987.9,1013.5,7,-2.1,24.9,11,42,13.1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,1,-9,-9,26.1,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,10/24/2016,2016,10,24,월,오후 6:42:00,18,42,경상남도,거창군,가조면,수월리,16,관할,일반조난,128.0456384,35.74681837,881.2790698,205,284,0,0.4,-9,-9,-9,989.7,1016.3,8,-0.1,14.4,10.2,76,12.4,-9,0,0,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,-9,0,-9,-9,15,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,8/8/2016,2016,8,8,월,오후 12:30:00,12,30,경상남도,거창군,가조면,수월리,20,관할,암벽등반,128.039093,35.74530029,844.6666667,215,284,14,1.4,-9,-9,-9,980.8,1005.5,7,-1.9,32.5,22.8,57,27.7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,2000,1,-9,-9,55.3,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,8/12/2019,2019,8,12,월,오후 12:56:00,12,56,경상남도,거창군,가조면,수월리,13,관할,실족추락,128.0381012,35.74171066,708.4090909,205,284,14,2.8,-9,-9,-9,976.5,1001.7,4,0,26,24.4,91,30.6,0,0.9,0.9,-9,-9,-9,-9,-9,-9,-,9,9,5,-,-9,-9,-9,1510,0,-9,-9,26.5,-99,-99,-99,-99,-9,-9,-9,1,-9
가야산,경남,5/30/2018,2018,5,30,수,오후 12:45:00,12,45,경상남도,거창군,가조면,수월리,13,관할,기타산악,128.0394122,35.74390607,709.5652174,210,284,34,0.6,-9,-9,-9,982.6,1008.2,5,-1.2,22.2,19.7,86,22.9,7.4,7.4,7.4,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,1018,0.1,-9,-9,27.9,-99,-99,-99,-99,-9,-9,-9,1,-9
가야산,경남,3/30/2020,2020,3,30,월,오후 1:40:00,13,40,경상남도,거창군,가조면,수월리,18,관할,기타산악,128.0392235,35.74516737,844.6666667,215,284,14,1.6,-9,-9,-9,992.3,1018.9,-9,-9,15.5,-1.1,32,5.6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,6,0,-9,-,-9,-9,-9,2000,1,-9,-9,28.2,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,10/22/2013,2013,10,22,화,오후 10:01:00,22,1,경상남도,합천군,가야면,치인리,35,관할,일반조난,128.0948955,35.83181805,1002.45098,245,284,25,0.6,-9,-9,-9,996.1,1023.1,-9,-9,12.2,9.5,84,11.9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,-9,-9,-9,-,-9,-9,-9,-9,-9,-9,-9,12.2,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,10/21/2019,2019,10,21,월,오후 2:34:00,14,34,경상남도,거창군,가조면,수월리,18,관할,실족추락,128.0399033,35.74319748,709.5652174,210,284,11,2.8,-9,-9,-9,989.4,1015.3,-9,-9,21.6,7.7,41,10.5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.8,-9,-9,27.7,-99,-99,-99,-99,-9,-9,-9,3,-9
가야산,경남,11/10/2018,2018,11,10,토,오후 3:00:00,15,0,경상남도,합천군,가야면,치인리,0,타관할,개인질환,128.0948353,35.77232706,958.4782609,195,284,27,2.7,-9,-9,-9,996.1,1022.4,7,-2.9,17.9,3.7,39,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-,0,0,-9,-,-9,-9,-9,1366,1,-9,-9,18,-99,-99,-99,-99,-9,-9,-9,3,-9
